,Value,Feature
866,0.0,f26 f83
867,0.0,f26 f85
868,0.0,f26 f86
869,0.0,f26 f87
870,0.0,f26 f90
871,0.0,f26 f91
872,0.0,f26 f92
873,0.0,f26 f94
874,0.0,f26 f95
875,0.0,f26 f96
876,0.0,f26 f98
877,0.0,f26 f99
878,0.0,f26^2
879,0.0,f27 f28
880,0.0,f27 f29
881,0.0,f27 f30
882,0.0,f27 f31
883,0.0,f27 f33
884,0.0,f27 f34
885,0.0,f27 f35
886,0.0,f27 f36
887,0.0,f27 f37
888,0.0,f27 f40
889,0.0,f27 f41
890,0.0,f27 f43
891,0.0,f27 f46
892,0.0,f27 f48
893,0.0,f27 f51
894,0.0,f27 f52
895,0.0,f27 f54
896,0.0,f27 f55
897,0.0,f27 f57
898,0.0,f27 f61
899,0.0,f27 f63
900,0.0,f27 f64
901,0.0,f27 f66
902,0.0,f27 f67
903,0.0,f27 f69
904,0.0,f27 f72
905,0.0,f27 f73
906,0.0,f27 f76
907,0.0,f27 f77
908,0.0,f27 f78
909,0.0,f27 f79
910,0.0,f27 f80
911,0.0,f27 f83
912,0.0,f27 f87
913,0.0,f27 f88
914,0.0,f27 f89
915,0.0,f27 f90
916,0.0,f27 f91
917,0.0,f27 f92
918,0.0,f27 f96
919,0.0,f27 f98
920,0.0,f27 f99
921,0.0,f27^2
922,0.0,f28 f29
923,0.0,f28 f31
924,0.0,f28 f36
925,0.0,f28 f38
926,0.0,f28 f39
927,0.0,f28 f40
928,0.0,f28 f41
929,0.0,f28 f42
930,0.0,f28 f43
931,0.0,f28 f50
932,0.0,f28 f54
933,0.0,f28 f58
934,0.0,f28 f59
935,0.0,f28 f60
936,0.0,f28 f61
937,0.0,f28 f62
938,0.0,f28 f64
939,0.0,f28 f67
940,0.0,f28 f72
941,0.0,f28 f73
942,0.0,f28 f75
943,0.0,f28 f79
944,0.0,f28 f82
945,0.0,f28 f83
946,0.0,f28 f88
947,0.0,f28 f92
948,0.0,f28 f95
949,0.0,f28 f96
950,0.0,f28 f97
951,0.0,f28 f98
952,0.0,f28 f99
953,0.0,f28^2
954,0.0,f29 f30
955,0.0,f29 f31
956,0.0,f29 f32
957,0.0,f29 f33
958,0.0,f29 f35
959,0.0,f29 f37
960,0.0,f29 f39
961,0.0,f29 f40
962,0.0,f29 f41
963,0.0,f29 f43
964,0.0,f29 f48
965,0.0,f29 f51
966,0.0,f29 f53
967,0.0,f29 f56
968,0.0,f29 f58
969,0.0,f29 f59
970,0.0,f29 f60
971,0.0,f29 f61
972,0.0,f29 f62
973,0.0,f29 f64
974,0.0,f29 f68
975,0.0,f29 f71
976,0.0,f29 f73
977,0.0,f29 f75
978,0.0,f29 f76
979,0.0,f29 f77
980,0.0,f29 f78
981,0.0,f29 f79
982,0.0,f29 f81
